time,subregion,parent,value
2019-11-25T18,SDGE,CISO,1822.69671099385
2019-11-25T19,SDGE,CISO,1869.62682221061
2019-11-25T20,SDGE,CISO,1947.02148328575
2019-11-25T21,SDGE,CISO,2029.97129028452
2019-11-25T22,SDGE,CISO,2091.60603594625
2019-11-25T23,SDGE,CISO,2110.68222556544
2019-11-26T00,SDGE,CISO,2077.66839457416
2019-11-26T01,SDGE,CISO,1997.67053632398
2019-11-26T02,SDGE,CISO,1889.38800816632
2019-11-26T03,SDGE,CISO,1780.35714114583
2019-11-26T04,SDGE,CISO,1699.73936045019
2019-11-26T05,SDGE,CISO,1670.57474031997
2019-11-26T06,SDGE,CISO,1703.57215189668
2019-11-26T07,SDGE,CISO,1794.10272276294
2019-11-26T08,SDGE,CISO,1923.21202671997
2019-11-26T09,SDGE,CISO,2062.39584712872
2019-11-26T10,SDGE,CISO,2180.88092894751
2019-11-26T11,SDGE,CISO,2253.48439883923
2019-11-26T12,SDGE,CISO,2266.9722186838
2019-11-26T13,SDGE,CISO,2223.23916916881
2019-11-26T14,SDGE,CISO,2138.48275042233
2019-11-26T15,SDGE,CISO,2038.61347377854
2019-11-26T16,SDGE,CISO,1952.14781751176
2019-11-26T17,SDGE,CISO,1902.49896453359
2019-11-26T18,SDGE,CISO,1901.7354591859
2019-11-26T19,SDGE,CISO,1947.4779508224
2019-11-26T20,SDGE,CISO,2023.75680091152
2019-11-26T21,SDGE,CISO,2105.58598058999
2019-11-26T22,SDGE,CISO,2166.00777020151
2019-11-26T23,SDGE,CISO,2183.69685281136
2019-11-27T00,SDGE,CISO,2149.06020897055
2019-11-27T01,SDGE,CISO,2067.17176088983
2019-11-27T02,SDGE,CISO,1956.73020955035
2019-11-27T03,SDGE,CISO,1845.29728086955
2019-11-27T04,SDGE,CISO,1762.07506245083
2019-11-27T05,SDGE,CISO,1730.14658007748
2019-11-27T06,SDGE,CISO,1760.25446055487
2019-11-27T07,SDGE,CISO,1847.78754611149
2019-11-27T08,SDGE,CISO,1973.79263404544
2019-11-27T09,SDGE,CISO,2109.7560823603
2019-11-27T10,SDGE,CISO,2224.89477811282
2019-11-27T11,SDGE,CISO,2294.02695177391
2019-11-27T12,SDGE,CISO,2303.93961774629
2019-11-27T13,SDGE,CISO,2256.57216177668
2019-11-27T14,SDGE,CISO,2168.18693327212
2019-11-27T15,SDGE,CISO,2064.76968405516
2019-11-27T16,SDGE,CISO,1974.90832785815
2019-11-27T17,SDGE,CISO,1922.0686139427
2019-11-27T18,SDGE,CISO,1918.34069156611
2019-11-27T19,SDGE,CISO,1961.32991996038
2019-11-27T20,SDGE,CISO,2035.01638303407
2019-11-27T21,SDGE,CISO,2114.33825530471
2019-11-27T22,SDGE,CISO,2172.25134603122
2019-11-27T23,SDGE,CISO,2187.34988627637
2019-11-28T00,SDGE,CISO,2149.98101149242
2019-11-28T01,SDGE,CISO,2065.18853131829
2019-11-28T02,SDGE,CISO,1951.67253493967
2019-11-28T03,SDGE,CISO,1837.02208558779
2019-11-28T04,SDGE,CISO,1750.48161123568
2019-11-28T05,SDGE,CISO,1715.17840794102
2019-11-28T06,SDGE,CISO,1741.88981193858
2019-11-28T07,SDGE,CISO,1826.0230475777
2019-11-28T08,SDGE,CISO,1948.62665103205
2019-11-28T09,SDGE,CISO,2081.17806298197
2019-11-28T10,SDGE,CISO,2192.8849202225
2019-11-28T11,SDGE,CISO,2258.5672952871
2019-11-28T12,SDGE,CISO,2265.03406199444
2019-11-28T13,SDGE,CISO,2214.26994094068
2019-11-28T14,SDGE,CISO,2122.6025875107
2019-11-28T15,SDGE,CISO,2016.09298059329
2019-11-28T16,SDGE,CISO,1923.39983969226
2019-11-28T17,SDGE,CISO,1868.04017999356
2019-11-28T18,SDGE,CISO,1862.12384029598
2019-11-28T19,SDGE,CISO,1903.23851660294
2019-11-28T20,SDGE,CISO,1975.3114087539
2019-11-28T21,SDGE,CISO,2053.20229509299
2019-11-28T22,SDGE,CISO,2109.77812282372
2019-11-28T23,SDGE,CISO,2123.55060715531
2019-11-29T00,SDGE,CISO,2084.80531445609
2019-11-29T01,SDGE,CISO,1998.55446910542
2019-11-29T02,SDGE,CISO,1883.4981671707
2019-11-29T03,SDGE,CISO,1767.2513349507
2019-11-29T04,SDGE,CISO,1679.09901619309
2019-11-29T05,SDGE,CISO,1642.21071333477
